client,time,latency
24,18:55:46,13.932
18,18:55:46,33.545
20,18:55:46,30.619
10,18:55:46,30.798
12,18:55:46,30.485
23,18:55:46,9.780
4,18:55:46,29.222
16,18:55:46,14.577
3,18:55:46,16.447
1,18:55:46,28.246
0,18:55:46,29.528
19,18:55:46,17.887
21,18:55:46,27.644
8,18:55:46,20.636
22,18:55:46,27.736
2,18:55:46,28.093
9,18:55:46,30.246
15,18:55:46,28.606
7,18:55:46,27.037
13,18:55:46,18.172
6,18:55:46,12.814
5,18:55:46,12.915
17,18:55:46,16.266
14,18:55:46,14.490
11,18:55:46,29.164
10,18:55:46,0.635
4,18:55:46,0.615
24,18:55:46,2.288
12,18:55:46,2.172
23,18:55:46,1.922
0,18:55:46,5.928
15,18:55:46,5.345
2,18:55:46,6.195
17,18:55:46,4.687
21,18:55:46,8.018
1,18:55:46,7.797
20,18:55:46,10.608
14,18:55:46,6.101
18,18:55:46,12.463
9,18:55:46,8.169
22,18:55:46,9.914
19,18:55:46,10.039
13,18:55:46,7.796
6,18:55:46,9.454
3,18:55:46,33.356
7,18:55:46,33.611
16,18:55:46,39.310
5,18:55:46,35.718
11,18:55:46,37.059
8,18:55:46,41.782
10,18:55:47,0.849
24,18:55:47,1.341
4,18:55:47,2.210
12,18:55:47,3.296
23,18:55:47,3.219
0,18:55:47,0.919
17,18:55:47,1.251
1,18:55:47,1.308
20,18:55:47,1.004
14,18:55:47,2.293
19,18:55:47,1.133
21,18:55:47,5.104
22,18:55:47,2.254
18,18:55:47,3.901
6,18:55:47,2.162
15,18:55:47,8.239
13,18:55:47,3.543
2,18:55:47,9.398
9,18:55:47,8.352
3,18:55:47,0.673
7,18:55:47,2.635
11,18:55:47,0.435
5,18:55:47,2.692
16,18:55:47,4.521
8,18:55:47,2.094
10,18:55:47,4.423
12,18:55:47,0.562
4,18:55:47,3.881
23,18:55:47,1.830
0,18:55:47,2.185
1,18:55:47,1.046
17,18:55:47,3.157
20,18:55:47,2.179
14,18:55:47,1.722
18,18:55:47,0.488
21,18:55:47,1.423
13,18:55:47,1.587
22,18:55:47,3.277
2,18:55:47,0.840
19,18:55:47,4.841
9,18:55:47,1.886
6,18:55:47,7.823
3,18:55:47,2.994
