client,time,latency
2,18:49:04,11.633
1,18:49:04,11.893
4,18:49:04,21.828
6,18:49:04,16.418
5,18:49:04,11.328
8,18:49:04,15.879
0,18:49:04,15.283
3,18:49:04,16.104
9,18:49:04,19.171
7,18:49:04,17.548
6,18:49:05,0.671
1,18:49:05,2.016
8,18:49:05,1.760
3,18:49:05,1.318
0,18:49:05,10.801
5,18:49:05,11.726
7,18:49:05,10.606
2,18:49:05,19.974
4,18:49:05,20.207
9,18:49:05,18.482
6,18:49:05,0.767
1,18:49:05,1.126
8,18:49:05,6.043
3,18:49:05,8.016
5,18:49:05,1.162
7,18:49:05,1.600
0,18:49:05,4.328
2,18:49:05,2.519
4,18:49:05,4.304
9,18:49:05,6.403
1,18:49:05,0.759
6,18:49:05,4.465
8,18:49:05,0.537
3,18:49:05,3.087
5,18:49:05,0.490
7,18:49:05,2.332
0,18:49:05,1.323
2,18:49:05,0.349
4,18:49:05,1.504
9,18:49:05,0.452
1,18:49:05,2.642
6,18:49:05,1.439
8,18:49:05,4.059
5,18:49:05,1.178
3,18:49:05,2.971
7,18:49:05,2.278
0,18:49:05,1.514
2,18:49:05,2.344
4,18:49:05,1.021
9,18:49:05,2.154
1,18:49:05,0.813
6,18:49:05,0.759
5,18:49:05,1.042
8,18:49:05,3.824
3,18:49:05,1.234
0,18:49:05,1.942
7,18:49:05,3.119
2,18:49:05,2.721
9,18:49:05,1.370
4,18:49:05,6.627
6,18:49:05,2.461
1,18:49:05,3.949
8,18:49:05,1.361
5,18:49:05,3.145
3,18:49:05,1.877
7,18:49:05,0.453
0,18:49:05,1.866
2,18:49:05,4.025
9,18:49:05,1.323
4,18:49:05,1.026
6,18:49:05,1.939
1,18:49:05,3.516
5,18:49:05,0.680
3,18:49:05,0.714
0,18:49:05,1.127
7,18:49:05,1.697
8,18:49:05,6.174
2,18:49:05,1.474
4,18:49:05,0.535
9,18:49:05,3.845
6,18:49:05,0.831
1,18:49:05,5.181
3,18:49:05,1.302
5,18:49:05,1.922
7,18:49:05,1.088
8,18:49:05,3.602
4,18:49:05,2.793
2,18:49:05,5.640
9,18:49:05,3.743
0,18:49:05,1.335
6,18:49:05,3.885
1,18:49:05,0.614
3,18:49:05,1.845
5,18:49:05,1.716
7,18:49:05,0.510
8,18:49:05,1.464
4,18:49:05,0.531
2,18:49:05,3.298
9,18:49:05,2.758
0,18:49:05,0.456
6,18:49:05,5.091
1,18:49:05,3.405
3,18:49:05,2.203
5,18:49:05,2.180
7,18:49:05,3.143
8,18:49:05,1.315
4,18:49:05,2.404
9,18:49:05,2.725
2,18:49:05,3.103
0,18:49:05,2.618
6,18:49:06,3.582
3,18:49:06,0.467
1,18:49:06,3.925
5,18:49:06,1.615
7,18:49:06,0.388
8,18:49:06,0.652
4,18:49:06,2.625
9,18:49:06,3.037
2,18:49:06,5.191
0,18:49:06,2.656
