client,time,latency
13,18:54:17,11.383
0,18:54:17,32.145
24,18:54:17,26.804
11,18:54:17,26.398
16,18:54:17,23.899
2,18:54:17,24.666
9,18:54:17,23.868
10,18:54:17,23.106
23,18:54:17,22.052
18,18:54:17,21.958
21,18:54:17,10.417
6,18:54:17,13.129
5,18:54:17,20.232
7,18:54:17,12.849
19,18:54:17,10.654
22,18:54:17,33.789
15,18:54:17,33.440
17,18:54:17,33.058
3,18:54:17,33.701
8,18:54:17,32.197
1,18:54:17,32.620
14,18:54:17,37.850
12,18:54:17,37.309
20,18:54:17,40.983
4,18:54:17,44.306
0,18:54:18,1.403
16,18:54:18,1.564
11,18:54:18,2.370
23,18:54:18,0.504
10,18:54:18,0.758
2,18:54:18,2.693
13,18:54:18,4.625
9,18:54:18,3.507
6,18:54:18,1.990
19,18:54:18,1.874
15,18:54:18,0.852
1,18:54:18,1.654
20,18:54:18,1.244
3,18:54:18,7.849
14,18:54:18,7.272
22,18:54:18,9.095
21,18:54:18,10.515
5,18:54:18,10.272
12,18:54:18,11.091
24,18:54:18,19.158
17,18:54:18,14.018
8,18:54:18,14.165
7,18:54:18,17.665
4,18:54:18,9.775
18,18:54:18,20.367
0,18:54:19,3.639
16,18:54:19,2.676
10,18:54:19,2.233
11,18:54:19,4.813
23,18:54:19,5.875
9,18:54:19,2.777
1,18:54:19,1.433
13,18:54:19,6.085
2,18:54:19,6.562
19,18:54:19,4.194
15,18:54:19,4.038
20,18:54:19,0.815
6,18:54:19,8.322
14,18:54:19,0.761
21,18:54:19,0.415
3,18:54:19,3.003
12,18:54:19,0.886
24,18:54:19,0.351
4,18:54:19,0.585
8,18:54:19,3.658
18,18:54:19,1.453
7,18:54:19,3.012
17,18:54:19,5.956
22,18:54:19,2.590
10,18:54:20,1.684
0,18:54:20,2.598
16,18:54:20,2.798
11,18:54:20,2.801
9,18:54:20,2.246
1,18:54:20,2.750
20,18:54:20,0.857
13,18:54:20,3.828
2,18:54:20,4.502
14,18:54:20,0.441
15,18:54:20,4.465
23,18:54:20,7.516
3,18:54:20,0.391
6,18:54:20,3.291
19,18:54:20,6.290
12,18:54:20,0.989
21,18:54:20,6.858
24,18:54:20,5.539
8,18:54:20,1.985
17,18:54:20,1.182
7,18:54:20,1.973
18,18:54:20,2.549
4,18:54:20,6.684
22,18:54:20,0.675
10,18:54:21,3.636
16,18:54:21,3.254
9,18:54:21,2.887
11,18:54:21,3.448
1,18:54:21,2.722
13,18:54:21,1.510
2,18:54:21,0.985
20,18:54:21,3.850
14,18:54:21,2.435
23,18:54:21,1.563
15,18:54:21,3.554
3,18:54:21,2.464
19,18:54:21,3.947
6,18:54:21,5.504
21,18:54:21,1.981
12,18:54:21,5.199
24,18:54:21,0.324
17,18:54:21,1.263
7,18:54:21,3.222
4,18:54:21,0.328
8,18:54:21,5.830
22,18:54:21,2.213
16,18:54:22,0.621
10,18:54:22,4.729
9,18:54:22,2.901
14,18:54:22,0.698
23,18:54:22,0.479
20,18:54:22,2.689
1,18:54:22,4.439
3,18:54:22,0.478
13,18:54:22,4.529
2,18:54:22,4.162
11,18:54:22,5.585
15,18:54:22,2.185
19,18:54:22,1.143
6,18:54:22,1.636
21,18:54:22,0.867
12,18:54:22,0.374
24,18:54:22,0.407
17,18:54:22,2.534
7,18:54:22,1.112
4,18:54:22,2.148
8,18:54:22,1.849
22,18:54:22,4.097
16,18:54:23,3.342
10,18:54:23,0.702
9,18:54:23,1.947
20,18:54:23,0.593
23,18:54:23,0.619
14,18:54:23,1.729
1,18:54:23,0.959
13,18:54:23,0.638
15,18:54:23,0.388
11,18:54:23,2.492
3,18:54:23,3.714
19,18:54:23,1.152
2,18:54:23,3.496
12,18:54:23,0.313
21,18:54:23,1.825
24,18:54:23,2.584
17,18:54:23,0.365
6,18:54:23,7.001
7,18:54:23,0.404
4,18:54:23,1.184
8,18:54:23,1.811
22,18:54:23,1.643
16,18:54:24,2.131
10,18:54:24,2.989
9,18:54:24,0.387
14,18:54:24,1.214
15,18:54:24,0.610
23,18:54:24,3.233
1,18:54:24,2.672
13,18:54:24,3.444
3,18:54:24,1.900
11,18:54:24,2.528
2,18:54:24,2.236
19,18:54:24,2.574
20,18:54:24,7.928
21,18:54:24,1.907
12,18:54:24,2.627
24,18:54:24,0.824
17,18:54:24,0.385
6,18:54:24,0.484
7,18:54:24,4.551
8,18:54:24,1.834
4,18:54:24,4.370
22,18:54:24,4.276
16,18:54:25,0.844
9,18:54:25,0.533
14,18:54:25,0.471
10,18:54:25,3.901
15,18:54:25,2.981
3,18:54:25,0.387
13,18:54:25,1.855
2,18:54:25,0.436
20,18:54:25,1.192
1,18:54:25,6.272
24,18:54:25,1.890
21,18:54:25,3.664
6,18:54:25,1.118
17,18:54:25,0.388
23,18:54:25,10.796
12,18:54:25,7.955
19,18:54:25,10.139
8,18:54:25,0.411
7,18:54:25,2.096
4,18:54:25,1.149
11,18:54:25,15.712
22,18:54:25,2.651
9,18:54:26,0.675
16,18:54:26,4.334
14,18:54:26,0.834
10,18:54:26,0.422
2,18:54:26,0.435
15,18:54:26,3.682
3,18:54:26,3.884
20,18:54:26,1.222
1,18:54:26,2.105
13,18:54:26,6.389
6,18:54:26,0.416
24,18:54:26,1.877
21,18:54:26,3.189
17,18:54:26,2.653
23,18:54:26,2.413
8,18:54:26,1.067
12,18:54:26,2.718
19,18:54:26,2.652
7,18:54:26,2.431
4,18:54:26,1.679
11,18:54:26,1.113
22,18:54:26,2.774
16,18:54:27,0.710
9,18:54:27,2.574
14,18:54:27,2.160
10,18:54:27,3.682
2,18:54:27,0.413
3,18:54:27,0.583
15,18:54:27,2.155
20,18:54:27,2.215
6,18:54:27,0.500
1,18:54:27,2.011
17,18:54:27,0.481
24,18:54:27,1.957
23,18:54:27,1.692
21,18:54:27,3.172
8,18:54:27,0.300
12,18:54:27,0.317
13,18:54:27,7.195
19,18:54:27,2.081
4,18:54:27,2.674
11,18:54:27,1.051
22,18:54:27,0.613
16,18:54:28,2.508
9,18:54:28,2.293
14,18:54:28,1.613
2,18:54:28,0.484
3,18:54:28,0.454
15,18:54:28,1.876
10,18:54:28,6.280
20,18:54:28,0.966
1,18:54:28,0.934
6,18:54:28,1.445
17,18:54:28,1.809
23,18:54:28,0.282
24,18:54:28,2.160
21,18:54:28,0.322
12,18:54:28,0.281
13,18:54:28,0.527
19,18:54:28,0.358
11,18:54:28,0.468
4,18:54:28,5.976
8,18:54:28,8.237
22,18:54:28,2.802
14,18:54:29,0.489
9,18:54:29,1.235
5,18:54:29,2.225
16,18:54:29,3.305
2,18:54:29,2.184
3,18:54:29,0.313
10,18:54:29,1.241
20,18:54:29,1.267
6,18:54:29,0.387
15,18:54:29,2.946
1,18:54:29,1.860
17,18:54:29,0.590
24,18:54:29,0.256
23,18:54:29,1.624
12,18:54:29,1.175
19,18:54:29,0.315
13,18:54:29,2.802
21,18:54:29,4.563
11,18:54:29,1.037
4,18:54:29,4.555
8,18:54:29,0.458
22,18:54:29,1.776
9,18:54:30,1.581
2,18:54:30,1.230
14,18:54:30,4.730
16,18:54:30,4.726
3,18:54:30,2.738
5,18:54:30,6.970
20,18:54:30,0.558
10,18:54:30,1.192
6,18:54:30,0.320
15,18:54:30,0.346
24,18:54:30,0.484
1,18:54:30,3.148
17,18:54:30,1.859
12,18:54:30,2.193
23,18:54:30,3.337
19,18:54:30,1.787
13,18:54:30,0.982
21,18:54:30,1.522
11,18:54:30,3.782
4,18:54:30,0.547
8,18:54:30,3.958
22,18:54:30,1.896
0,18:54:31,10004.292
18,18:54:31,10004.094
9,18:54:31,0.658
14,18:54:31,0.606
2,18:54:31,2.678
3,18:54:31,0.521
16,18:54:31,2.180
20,18:54:31,1.435
5,18:54:31,3.189
6,18:54:31,2.601
15,18:54:31,2.537
24,18:54:31,1.838
1,18:54:31,1.397
17,18:54:31,0.927
19,18:54:31,0.458
12,18:54:31,2.635
23,18:54:31,2.441
13,18:54:31,1.981
21,18:54:31,1.343
11,18:54:31,1.945
4,18:54:31,5.638
22,18:54:31,0.352
8,18:54:31,3.304
0,18:54:32,3.651
18,18:54:32,2.760
9,18:54:32,1.562
14,18:54:32,2.605
16,18:54:32,0.328
3,18:54:32,2.303
5,18:54:32,0.789
6,18:54:32,2.028
20,18:54:32,4.388
15,18:54:32,2.529
2,18:54:32,6.942
24,18:54:32,0.335
1,18:54:32,0.743
17,18:54:32,0.579
19,18:54:32,3.388
23,18:54:32,2.918
12,18:54:32,3.292
21,18:54:32,3.440
11,18:54:32,0.332
13,18:54:32,6.180
22,18:54:32,0.920
4,18:54:32,3.885
8,18:54:32,1.507
0,18:54:33,0.831
9,18:54:33,1.635
18,18:54:33,4.160
3,18:54:33,0.609
14,18:54:33,3.594
5,18:54:33,1.613
6,18:54:33,1.164
24,18:54:33,0.405
15,18:54:33,1.708
1,18:54:33,1.220
20,18:54:33,3.059
17,18:54:33,2.229
2,18:54:33,3.104
19,18:54:33,1.104
11,18:54:33,0.352
23,18:54:33,2.853
21,18:54:33,2.168
12,18:54:33,4.023
13,18:54:33,2.927
22,18:54:33,0.536
8,18:54:33,1.533
4,18:54:33,4.761
0,18:54:34,6.795
18,18:54:34,0.471
9,18:54:34,3.608
3,18:54:34,0.305
5,18:54:34,2.466
24,18:54:34,0.521
6,18:54:34,2.065
1,18:54:34,0.446
15,18:54:34,1.435
20,18:54:34,0.373
14,18:54:34,6.237
2,18:54:34,1.042
17,18:54:34,1.465
19,18:54:34,2.058
23,18:54:34,1.282
21,18:54:34,1.620
11,18:54:34,2.264
12,18:54:34,1.397
13,18:54:34,0.493
