client,time,latency
1,18:21:00,12.678
2,18:21:00,22.599
4,18:21:00,12.441
3,18:21:00,19.638
0,18:21:00,12.763
3,18:21:01,1.198
1,18:21:01,3.651
4,18:21:01,8.221
2,18:21:01,9.059
0,18:21:01,9.254
1,18:21:02,1.987
2,18:21:02,0.884
0,18:21:02,2.738
4,18:21:02,5.631
3,18:21:02,2.960
1,18:21:03,1.274
0,18:21:03,1.715
2,18:21:03,4.525
4,18:21:03,3.902
3,18:21:03,0.789
1,18:21:04,2.627
2,18:21:04,0.866
4,18:21:04,1.174
0,18:21:04,0.464
3,18:21:04,3.124
2,18:21:05,3.261
1,18:21:05,2.787
4,18:21:05,0.686
0,18:21:05,1.621
3,18:21:05,1.858
2,18:21:06,0.979
1,18:21:06,1.743
4,18:21:06,2.650
0,18:21:06,3.256
3,18:21:06,2.751
2,18:21:07,3.820
1,18:21:07,3.386
4,18:21:07,1.985
0,18:21:07,0.999
3,18:21:07,1.738
4,18:21:08,0.798
2,18:21:08,3.674
1,18:21:08,3.342
0,18:21:08,1.651
3,18:21:08,1.859
2,18:21:09,2.336
4,18:21:09,4.870
0,18:21:09,1.985
1,18:21:09,1.965
3,18:21:09,0.675
2,18:21:10,1.165
0,18:21:10,0.917
1,18:21:10,0.681
4,18:21:10,0.728
3,18:21:10,4.905
0,18:21:11,3.047
2,18:21:11,4.459
1,18:21:11,1.319
4,18:21:11,2.566
3,18:21:11,0.759
0,18:21:12,3.922
1,18:21:12,4.672
4,18:21:12,2.793
2,18:21:12,4.123
3,18:21:12,1.424
0,18:21:13,1.187
1,18:21:13,2.728
4,18:21:13,4.471
2,18:21:13,2.890
3,18:21:13,2.301
0,18:21:14,4.036
1,18:21:14,1.367
4,18:21:14,0.735
2,18:21:14,2.133
3,18:21:14,2.745
0,18:21:15,1.230
1,18:21:15,2.145
4,18:21:15,2.401
2,18:21:15,2.742
3,18:21:15,2.859
0,18:21:16,0.763
1,18:21:16,0.578
4,18:21:16,0.579
2,18:21:16,1.377
3,18:21:16,0.805
0,18:21:17,1.777
1,18:21:17,0.542
4,18:21:17,0.539
2,18:21:17,0.641
3,18:21:17,2.786
0,18:21:18,0.956
1,18:21:18,1.194
4,18:21:18,2.378
2,18:21:18,1.661
3,18:21:18,2.427
1,18:21:19,0.797
0,18:21:19,2.930
4,18:21:19,1.450
2,18:21:19,3.086
3,18:21:19,0.870
0,18:21:20,2.580
4,18:21:20,2.464
2,18:21:20,1.649
1,18:21:20,2.912
3,18:21:20,0.604
0,18:21:21,2.390
4,18:21:21,3.350
2,18:21:21,2.467
1,18:21:21,0.638
3,18:21:21,0.493
0,18:21:22,4.107
2,18:21:22,2.986
1,18:21:22,2.433
4,18:21:22,3.332
3,18:21:23,2.363
2,18:21:23,0.795
0,18:21:23,2.004
1,18:21:24,1.156
4,18:21:24,1.627
3,18:21:24,2.265
2,18:21:25,0.945
4,18:21:25,0.885
1,18:21:25,3.229
3,18:21:25,0.462
0,18:21:25,4.168
2,18:21:26,1.879
3,18:21:26,0.779
