client,time,latency
0,18:32:02,10.610
3,18:32:02,12.692
2,18:32:02,19.357
1,18:32:02,10.609
4,18:32:02,16.160
2,18:32:02,0.457
1,18:32:02,0.543
4,18:32:02,0.474
3,18:32:02,2.230
0,18:32:02,5.425
2,18:32:02,1.874
3,18:32:02,0.537
0,18:32:02,0.738
4,18:32:02,5.200
1,18:32:02,8.823
2,18:32:02,1.345
3,18:32:02,2.093
0,18:32:02,0.448
1,18:32:02,2.763
4,18:32:02,6.904
2,18:32:02,1.370
3,18:32:02,0.391
0,18:32:02,2.284
1,18:32:02,0.503
3,18:32:02,0.362
2,18:32:02,0.916
4,18:32:02,6.707
0,18:32:02,2.056
1,18:32:02,0.571
3,18:32:02,0.544
2,18:32:02,0.543
4,18:32:03,1.784
0,18:32:03,2.285
3,18:32:03,0.446
2,18:32:03,1.042
1,18:32:03,4.393
4,18:32:03,0.600
0,18:32:03,2.101
3,18:32:03,1.795
2,18:32:03,2.630
1,18:32:03,2.831
4,18:32:03,1.613
0,18:32:03,1.879
3,18:32:03,0.454
2,18:32:03,2.347
1,18:32:03,2.417
4,18:32:03,0.478
0,18:32:03,2.012
3,18:32:03,2.605
2,18:32:03,1.001
1,18:32:03,1.581
4,18:32:03,1.171
0,18:32:03,0.456
3,18:32:03,0.418
4,18:32:03,0.413
1,18:32:03,1.420
2,18:32:03,8.785
0,18:32:03,3.899
3,18:32:03,0.876
1,18:32:03,0.942
4,18:32:03,2.670
3,18:32:03,0.415
2,18:32:03,4.803
1,18:32:03,0.975
0,18:32:03,6.364
4,18:32:03,5.002
3,18:32:03,0.956
1,18:32:03,1.703
0,18:32:03,2.331
2,18:32:03,5.288
4,18:32:03,3.933
3,18:32:03,2.651
1,18:32:03,3.175
0,18:32:03,1.663
2,18:32:03,2.005
4,18:32:03,1.703
3,18:32:03,1.844
1,18:32:03,0.533
2,18:32:03,0.440
0,18:32:03,1.797
3,18:32:03,1.379
4,18:32:03,4.401
2,18:32:03,0.469
1,18:32:03,2.210
0,18:32:03,1.065
3,18:32:03,3.190
2,18:32:03,1.161
1,18:32:03,1.496
0,18:32:03,2.831
4,18:32:03,5.769
3,18:32:03,1.160
2,18:32:03,0.893
1,18:32:03,2.319
4,18:32:03,1.069
0,18:32:03,3.400
2,18:32:03,2.658
1,18:32:03,0.588
3,18:32:03,5.088
4,18:32:03,4.422
0,18:32:03,2.674
