client,time,latency
6,18:35:32,14.437
8,18:35:32,5.963
9,18:35:32,18.864
7,18:35:32,11.333
4,18:35:32,15.490
3,18:35:32,18.951
5,18:35:32,12.958
1,18:35:32,11.774
0,18:35:32,14.879
2,18:35:32,11.656
8,18:35:33,11.126
5,18:35:33,11.811
3,18:35:33,12.662
7,18:35:33,13.975
1,18:35:33,12.315
9,18:35:33,15.080
2,18:35:33,12.950
4,18:35:33,14.851
6,18:35:33,20.281
0,18:35:33,17.871
8,18:35:34,0.852
5,18:35:34,1.751
7,18:35:34,1.198
3,18:35:34,1.941
9,18:35:34,3.001
2,18:35:34,2.938
4,18:35:34,4.401
6,18:35:34,0.876
1,18:35:34,5.962
0,18:35:34,2.089
5,18:35:35,0.797
7,18:35:35,0.536
8,18:35:35,4.848
3,18:35:35,1.604
9,18:35:35,0.380
6,18:35:35,0.515
1,18:35:35,2.084
4,18:35:35,4.078
0,18:35:35,3.462
2,18:35:35,8.682
5,18:35:36,0.853
7,18:35:36,0.678
9,18:35:36,0.641
3,18:35:36,2.040
8,18:35:36,3.619
6,18:35:36,0.476
1,18:35:36,1.490
0,18:35:36,1.404
4,18:35:36,6.805
2,18:35:36,6.936
7,18:35:37,1.604
5,18:35:37,3.539
8,18:35:37,0.350
3,18:35:37,1.213
9,18:35:37,2.860
6,18:35:37,1.981
1,18:35:37,1.323
0,18:35:37,2.115
4,18:35:37,0.610
2,18:35:37,3.002
7,18:35:38,2.567
8,18:35:38,1.637
9,18:35:38,0.676
3,18:35:38,2.394
5,18:35:38,3.660
6,18:35:38,2.801
0,18:35:38,2.863
1,18:35:38,6.703
4,18:35:38,1.196
2,18:35:38,2.205
8,18:35:39,2.650
3,18:35:39,1.979
7,18:35:39,4.313
5,18:35:39,2.349
6,18:35:39,0.418
9,18:35:39,7.888
0,18:35:39,0.433
1,18:35:39,1.501
4,18:35:39,1.818
2,18:35:39,0.604
7,18:35:40,1.626
8,18:35:40,2.578
3,18:35:40,2.677
6,18:35:40,2.499
9,18:35:40,1.785
5,18:35:40,6.979
0,18:35:40,1.491
1,18:35:40,0.351
4,18:35:40,2.356
2,18:35:40,3.215
7,18:35:41,1.065
8,18:35:41,1.988
3,18:35:41,2.664
6,18:35:41,3.359
5,18:35:41,1.170
0,18:35:41,0.433
1,18:35:41,0.581
9,18:35:41,3.000
4,18:35:41,3.053
2,18:35:41,1.862
8,18:35:42,0.608
7,18:35:42,3.780
6,18:35:42,1.778
0,18:35:42,1.087
5,18:35:42,2.457
1,18:35:42,2.066
9,18:35:42,2.327
3,18:35:42,3.160
4,18:35:42,2.708
2,18:35:42,0.415
8,18:35:43,1.744
6,18:35:43,0.592
7,18:35:43,2.725
1,18:35:43,0.525
9,18:35:43,1.797
5,18:35:43,4.078
0,18:35:43,5.605
3,18:35:43,3.495
2,18:35:43,0.404
4,18:35:43,5.760
6,18:35:44,0.650
7,18:35:44,2.299
8,18:35:44,6.619
9,18:35:44,0.314
1,18:35:44,2.548
5,18:35:44,2.512
0,18:35:44,2.856
3,18:35:44,1.725
2,18:35:44,2.150
4,18:35:44,0.543
6,18:35:45,3.160
8,18:35:45,0.659
7,18:35:45,2.576
9,18:35:45,2.932
1,18:35:45,3.229
0,18:35:45,1.162
5,18:35:45,1.898
2,18:35:45,0.405
4,18:35:45,0.520
3,18:35:45,1.721
8,18:35:46,1.705
7,18:35:46,1.364
1,18:35:46,0.370
9,18:35:46,2.767
6,18:35:46,7.126
5,18:35:46,0.363
0,18:35:46,1.715
4,18:35:46,2.139
2,18:35:46,4.716
3,18:35:46,2.348
8,18:35:47,0.918
7,18:35:47,0.738
1,18:35:47,0.544
9,18:35:47,2.849
0,18:35:47,1.525
5,18:35:47,2.734
6,18:35:47,2.901
2,18:35:47,0.542
4,18:35:47,2.942
3,18:35:47,2.898
7,18:35:48,0.622
8,18:35:48,1.718
0,18:35:48,0.496
1,18:35:48,5.129
9,18:35:48,1.348
6,18:35:48,3.124
5,18:35:48,3.429
2,18:35:48,3.037
4,18:35:48,3.058
3,18:35:48,1.946
8,18:35:49,3.634
7,18:35:49,6.988
9,18:35:49,1.181
0,18:35:49,2.613
1,18:35:49,2.867
6,18:35:49,0.443
5,18:35:49,1.602
2,18:35:49,1.639
4,18:35:49,0.533
3,18:35:49,0.470
8,18:35:50,2.059
0,18:35:50,0.649
7,18:35:50,2.627
9,18:35:50,2.915
1,18:35:50,1.793
5,18:35:50,2.528
6,18:35:50,5.035
4,18:35:50,1.904
2,18:35:50,2.810
3,18:35:50,2.617
8,18:35:51,3.820
7,18:35:51,0.985
1,18:35:51,2.541
0,18:35:51,4.480
9,18:35:51,3.935
6,18:35:51,1.845
5,18:35:51,3.045
