client,time,latency
19,19:03:25,22.582
12,19:03:25,43.395
1,19:03:25,42.797
24,19:03:25,40.486
21,19:03:25,40.520
16,19:03:25,36.366
17,19:03:25,35.844
8,19:03:25,36.051
4,19:03:25,34.745
3,19:03:25,34.079
5,19:03:25,33.758
7,19:03:25,32.842
15,19:03:25,31.899
10,19:03:25,31.345
13,19:03:25,31.052
20,19:03:25,27.325
2,19:03:25,25.501
0,19:03:25,26.635
11,19:03:25,11.933
18,19:03:25,18.350
14,19:03:25,16.244
9,19:03:25,24.059
6,19:03:25,28.373
22,19:03:25,27.291
23,19:03:25,46.516
19,19:03:25,4.102
24,19:03:25,3.399
15,19:03:25,1.883
13,19:03:25,4.929
10,19:03:25,6.026
7,19:03:25,6.643
9,19:03:25,5.698
2,19:03:25,8.023
16,19:03:25,15.170
6,19:03:25,10.406
8,19:03:25,15.340
17,19:03:25,19.713
14,19:03:25,15.349
0,19:03:25,15.202
12,19:03:25,22.262
11,19:03:25,13.747
22,19:03:25,16.092
18,19:03:25,16.391
5,19:03:25,18.890
1,19:03:25,25.054
20,19:03:25,17.070
23,19:03:25,20.618
3,19:03:25,24.896
4,19:03:25,30.005
21,19:03:25,2.475
19,19:03:25,1.822
24,19:03:25,2.163
15,19:03:25,0.428
13,19:03:25,0.337
10,19:03:25,2.762
7,19:03:25,2.406
9,19:03:25,0.941
6,19:03:25,0.424
8,19:03:25,0.473
16,19:03:25,1.664
2,19:03:25,5.046
17,19:03:25,0.520
11,19:03:25,0.526
12,19:03:25,1.039
14,19:03:25,1.927
18,19:03:25,1.175
0,19:03:25,2.833
22,19:03:25,2.161
5,19:03:25,1.113
1,19:03:25,0.854
20,19:03:25,2.396
23,19:03:25,0.312
3,19:03:25,2.722
4,19:03:25,0.362
21,19:03:25,1.460
24,19:03:25,1.528
19,19:03:25,4.894
13,19:03:25,1.704
10,19:03:25,1.561
9,19:03:25,2.061
7,19:03:25,2.834
8,19:03:25,2.084
6,19:03:25,2.877
2,19:03:25,2.418
16,19:03:25,3.888
17,19:03:25,1.786
11,19:03:25,1.677
18,19:03:25,0.450
12,19:03:25,1.808
5,19:03:25,0.338
14,19:03:25,1.976
22,19:03:25,1.978
0,19:03:25,3.008
1,19:03:25,2.112
23,19:03:25,0.343
20,19:03:25,2.155
3,19:03:25,3.333
4,19:03:25,6.169
21,19:03:25,3.754
24,19:03:25,3.767
19,19:03:25,1.127
13,19:03:25,2.240
7,19:03:25,2.454
9,19:03:25,4.143
6,19:03:25,1.342
2,19:03:25,1.298
10,19:03:25,8.758
17,19:03:25,0.365
16,19:03:25,2.450
8,19:03:25,4.614
18,19:03:25,1.116
14,19:03:25,0.461
11,19:03:25,2.004
5,19:03:25,1.616
22,19:03:25,1.308
1,19:03:25,0.381
12,19:03:25,2.856
23,19:03:25,2.688
0,19:03:25,6.440
3,19:03:25,0.383
20,19:03:25,6.764
4,19:03:25,1.204
21,19:03:25,0.518
19,19:03:25,1.414
24,19:03:25,2.270
13,19:03:25,2.801
7,19:03:25,0.840
9,19:03:25,1.355
2,19:03:25,1.688
6,19:03:25,2.634
17,19:03:25,0.368
16,19:03:25,0.353
10,19:03:25,2.326
8,19:03:25,0.918
18,19:03:25,1.144
5,19:03:25,1.015
22,19:03:25,0.405
12,19:03:25,0.446
1,19:03:25,1.241
11,19:03:25,3.977
14,19:03:25,4.910
23,19:03:25,1.191
0,19:03:25,0.494
3,19:03:25,1.924
4,19:03:25,0.430
20,19:03:25,4.717
21,19:03:25,1.517
24,19:03:25,2.723
13,19:03:25,0.491
19,19:03:25,4.801
7,19:03:25,0.484
9,19:03:25,1.476
6,19:03:25,0.429
2,19:03:25,1.585
17,19:03:25,0.641
16,19:03:25,1.481
10,19:03:25,1.683
8,19:03:25,4.076
5,19:03:25,1.434
12,19:03:25,2.002
18,19:03:25,3.759
14,19:03:25,0.426
1,19:03:25,3.359
11,19:03:25,3.389
0,19:03:25,0.992
22,19:03:25,7.766
23,19:03:25,4.006
3,19:03:25,1.050
20,19:03:25,2.256
4,19:03:25,4.384
21,19:03:25,3.805
13,19:03:25,0.664
19,19:03:25,0.433
24,19:03:25,2.941
7,19:03:25,1.238
2,19:03:25,0.822
6,19:03:25,2.212
16,19:03:25,1.401
17,19:03:25,2.519
8,19:03:25,1.584
9,19:03:25,2.466
5,19:03:25,1.299
18,19:03:25,0.735
12,19:03:25,2.804
1,19:03:25,1.248
11,19:03:25,0.333
14,19:03:25,2.497
10,19:03:25,9.031
23,19:03:25,2.893
3,19:03:25,2.108
22,19:03:25,4.795
0,19:03:25,6.072
4,19:03:25,1.621
20,19:03:25,1.397
21,19:03:25,2.698
19,19:03:25,0.330
13,19:03:25,2.056
24,19:03:25,0.865
7,19:03:25,0.986
6,19:03:25,0.866
16,19:03:25,0.851
2,19:03:25,5.640
17,19:03:25,3.921
18,19:03:25,0.364
9,19:03:25,1.392
8,19:03:25,2.349
11,19:03:25,0.490
12,19:03:25,1.670
1,19:03:25,1.391
14,19:03:25,1.120
10,19:03:25,1.323
23,19:03:25,0.954
3,19:03:25,2.614
0,19:03:25,3.599
22,19:03:25,5.174
4,19:03:25,1.902
20,19:03:25,1.110
21,19:03:25,3.245
19,19:03:25,1.220
13,19:03:25,0.859
24,19:03:25,1.691
7,19:03:25,2.692
16,19:03:25,0.390
6,19:03:25,3.325
17,19:03:25,1.512
18,19:03:25,0.987
9,19:03:25,1.259
2,19:03:25,2.604
12,19:03:25,0.376
14,19:03:25,1.066
8,19:03:25,4.112
1,19:03:25,2.013
11,19:03:25,2.535
10,19:03:25,2.814
23,19:03:25,1.606
3,19:03:25,0.389
0,19:03:25,0.920
4,19:03:25,0.976
20,19:03:25,2.084
21,19:03:25,0.458
19,19:03:25,0.640
13,19:03:25,2.474
24,19:03:25,1.122
7,19:03:25,1.350
16,19:03:25,1.748
6,19:03:25,1.733
9,19:03:25,1.045
17,19:03:25,2.317
18,19:03:25,2.414
12,19:03:25,0.379
2,19:03:25,1.975
14,19:03:25,0.975
1,19:03:25,1.349
8,19:03:25,2.841
11,19:03:25,3.786
23,19:03:25,0.374
10,19:03:25,4.496
3,19:03:25,1.267
0,19:03:25,3.507
4,19:03:26,1.941
20,19:03:26,1.062
21,19:03:26,2.903
19,19:03:26,0.463
13,19:03:26,1.041
7,19:03:26,0.413
24,19:03:26,2.968
6,19:03:26,0.454
16,19:03:26,2.618
18,19:03:26,0.488
9,19:03:26,1.528
17,19:03:26,2.264
2,19:03:26,1.465
14,19:03:26,0.378
1,19:03:26,0.363
12,19:03:26,4.570
8,19:03:26,2.211
23,19:03:26,0.332
11,19:03:26,2.025
3,19:03:26,2.244
0,19:03:26,2.682
20,19:03:26,0.321
4,19:03:26,5.292
21,19:03:26,3.308
19,19:03:26,1.819
13,19:03:26,0.884
7,19:03:26,1.975
24,19:03:26,2.795
6,19:03:26,2.605
16,19:03:26,2.405
9,19:03:26,0.355
18,19:03:26,1.848
2,19:03:26,0.927
17,19:03:26,1.535
14,19:03:26,1.365
1,19:03:26,0.327
12,19:03:26,0.768
8,19:03:26,0.433
11,19:03:26,2.466
23,19:03:26,5.124
3,19:03:26,2.301
0,19:03:26,2.425
20,19:03:26,1.884
21,19:03:26,0.483
19,19:03:26,1.510
13,19:03:26,2.434
24,19:03:26,1.921
7,19:03:26,5.290
6,19:03:26,1.372
9,19:03:26,1.339
16,19:03:26,3.142
2,19:03:26,0.349
17,19:03:26,0.337
14,19:03:26,0.330
18,19:03:26,2.861
1,19:03:26,1.916
8,19:03:26,0.360
12,19:03:26,5.404
11,19:03:26,1.001
23,19:03:26,0.898
3,19:03:26,2.846
20,19:03:26,1.912
0,19:03:26,3.873
21,19:03:26,0.693
13,19:03:26,1.186
24,19:03:26,2.447
7,19:03:26,0.368
9,19:03:26,0.369
17,19:03:26,1.392
18,19:03:26,0.538
14,19:03:26,1.969
2,19:03:26,2.912
16,19:03:26,3.446
1,19:03:26,1.589
6,19:03:26,7.158
12,19:03:26,0.423
23,19:03:26,2.090
11,19:03:26,5.997
3,19:03:26,0.397
20,19:03:26,1.793
0,19:03:26,4.534
21,19:03:26,0.630
13,19:03:26,0.581
7,19:03:26,1.701
24,19:03:26,4.107
9,19:03:26,0.925
18,19:03:26,0.536
2,19:03:26,1.172
16,19:03:26,2.836
1,19:03:26,2.387
6,19:03:26,1.914
17,19:03:26,9.457
14,19:03:26,10.174
12,19:03:26,5.480
11,19:03:26,2.706
3,19:03:26,1.250
20,19:03:26,0.338
0,19:03:26,2.685
21,19:03:26,1.834
7,19:03:26,0.583
24,19:03:26,2.042
9,19:03:26,0.371
18,19:03:26,1.776
2,19:03:26,2.398
16,19:03:26,1.491
6,19:03:26,1.200
14,19:03:26,1.389
12,19:03:26,2.836
11,19:03:26,0.306
17,19:03:26,7.342
3,19:03:26,0.374
20,19:03:26,0.946
0,19:03:26,0.332
