client,time,latency
190,19:40:31,73.290
91,19:40:31,121.997
96,19:40:31,121.356
35,19:40:31,118.465
0,19:40:31,119.113
113,19:40:31,111.007
147,19:40:31,106.253
18,19:40:31,111.383
134,19:40:31,105.516
29,19:40:31,108.763
6,19:40:31,32.759
69,19:40:31,19.133
81,19:40:31,25.897
125,19:40:31,23.577
17,19:40:31,28.933
22,19:40:31,28.371
80,19:40:31,129.186
62,19:40:31,106.524
31,19:40:31,31.755
30,19:40:31,31.845
43,19:40:31,27.222
139,19:40:31,22.366
40,19:40:31,27.307
53,19:40:31,30.984
118,19:40:31,82.491
82,19:40:31,84.507
67,19:40:31,28.675
55,19:40:31,80.360
111,19:40:31,77.770
76,19:40:31,80.078
24,19:40:31,83.525
26,19:40:31,83.624
190,19:40:31,0.363
73,19:40:31,136.093
127,19:40:31,134.137
155,19:40:31,134.620
71,19:40:31,68.641
107,19:40:31,79.896
142,19:40:31,78.792
193,19:40:31,76.424
114,19:40:31,16.725
112,19:40:31,63.186
117,19:40:31,64.219
7,19:40:31,77.927
164,19:40:31,98.201
192,19:40:31,96.763
197,19:40:31,137.526
198,19:40:31,63.243
69,19:40:31,4.233
61,19:40:31,102.934
46,19:40:31,103.207
76,19:40:31,3.951
120,19:40:31,146.546
146,19:40:31,97.292
162,19:40:31,96.066
196,19:40:31,94.327
141,19:40:31,96.764
194,19:40:31,145.955
34,19:40:31,101.660
23,19:40:31,102.128
144,19:40:31,94.925
75,19:40:31,97.853
32,19:40:31,97.605
199,19:40:31,19.565
116,19:40:31,28.513
64,19:40:31,35.745
42,19:40:31,24.676
65,19:40:31,94.232
49,19:40:31,23.904
50,19:40:31,23.693
99,19:40:31,56.817
68,19:40:31,160.557
166,19:40:31,53.592
174,19:40:31,53.204
173,19:40:31,54.090
171,19:40:31,54.696
104,19:40:31,67.066
133,19:40:31,159.839
160,19:40:31,66.893
53,19:40:31,21.282
107,19:40:31,14.495
101,19:40:31,90.021
21,19:40:31,168.400
146,19:40:31,4.021
63,19:40:31,167.416
32,19:40:31,3.660
34,19:40:31,5.873
190,19:40:31,23.154
192,19:40:31,16.469
167,19:40:31,66.917
124,19:40:31,57.701
191,19:40:31,54.506
177,19:40:31,66.427
87,19:40:31,60.258
102,19:40:31,71.285
157,19:40:31,89.105
36,19:40:31,77.101
27,19:40:31,78.322
185,19:40:31,70.566
140,19:40:31,89.867
59,19:40:31,77.012
183,19:40:31,71.104
88,19:40:31,61.166
1,19:40:31,81.690
53,19:40:31,1.745
181,19:40:31,73.318
60,19:40:31,80.046
106,19:40:31,60.698
126,19:40:31,61.930
156,19:40:31,87.788
9,19:40:31,182.481
119,19:40:31,176.556
65,19:40:31,10.109
199,19:40:31,4.852
142,19:40:31,30.224
173,19:40:31,0.547
182,19:40:31,176.304
112,19:40:31,20.211
116,19:40:31,5.432
75,19:40:31,7.640
194,19:40:31,4.696
175,19:40:31,161.144
161,19:40:31,161.592
154,19:40:31,160.538
117,19:40:31,11.261
69,19:40:31,3.127
61,19:40:31,5.292
91,19:40:31,28.442
7,19:40:31,9.548
189,19:40:31,156.303
108,19:40:31,159.370
71,19:40:31,6.041
103,19:40:31,157.087
6,19:40:31,14.137
139,19:40:31,15.300
29,19:40:31,20.547
30,19:40:31,16.040
155,19:40:31,7.880
55,19:40:31,12.699
188,19:40:31,149.979
193,19:40:31,3.467
127,19:40:31,4.998
24,19:40:31,7.494
82,19:40:31,8.272
67,19:40:31,4.810
10,19:40:31,151.691
100,19:40:31,145.860
20,19:40:31,149.702
18,19:40:31,7.011
187,19:40:31,135.094
163,19:40:31,136.225
168,19:40:31,135.675
122,19:40:31,137.902
44,19:40:31,141.809
158,19:40:31,133.322
180,19:40:31,132.171
74,19:40:31,137.354
83,19:40:31,136.628
145,19:40:31,133.497
41,19:40:31,136.924
131,19:40:31,131.619
151,19:40:31,130.619
90,19:40:31,131.632
138,19:40:31,128.870
92,19:40:31,130.714
128,19:40:31,128.473
45,19:40:31,132.182
136,19:40:31,127.435
57,19:40:31,130.884
12,19:40:31,132.338
72,19:40:31,128.642
4,19:40:31,132.742
178,19:40:31,123.278
77,19:40:31,127.623
130,19:40:31,124.510
58,19:40:31,125.647
170,19:40:31,119.932
97,19:40:31,122.594
65,19:40:31,14.598
127,19:40:31,2.191
30,19:40:31,2.242
13,19:40:31,207.800
140,19:40:31,19.737
118,19:40:31,61.421
55,19:40:31,1.593
53,19:40:31,16.071
29,19:40:31,1.801
102,19:40:31,19.040
185,19:40:31,17.349
183,19:40:31,14.969
93,19:40:31,197.759
195,19:40:31,190.420
28,19:40:31,82.564
177,19:40:31,2.894
15,19:40:31,188.127
32,19:40:31,4.299
0,19:40:31,47.863
92,19:40:31,5.612
125,19:40:31,39.287
192,19:40:31,0.427
146,19:40:31,4.958
24,19:40:31,13.829
148,19:40:31,177.802
98,19:40:31,180.243
47,19:40:31,181.249
170,19:40:31,7.070
112,19:40:31,27.529
13,19:40:31,1.345
131,19:40:31,9.277
12,19:40:31,5.836
193,19:40:31,14.166
181,19:40:31,29.054
145,19:40:31,8.090
128,19:40:31,4.926
45,19:40:31,4.114
117,19:40:31,18.430
4,19:40:31,1.609
199,19:40:31,21.154
154,19:40:31,17.771
116,19:40:31,19.764
57,19:40:31,1.289
124,19:40:31,29.986
2,19:40:31,215.367
115,19:40:31,208.179
100,19:40:31,26.717
82,19:40:31,6.784
135,19:40:31,206.662
56,19:40:31,210.705
41,19:40:31,1.269
94,19:40:31,207.236
188,19:40:31,5.413
122,19:40:31,1.385
13,19:40:31,2.247
139,19:40:31,5.257
