client,time,latency
0,22:21:36,36.414
0,22:21:36,19.817
0,22:21:36,18.286
0,22:21:36,18.075
0,22:21:36,18.204
0,22:21:36,17.679
0,22:21:36,18.095
0,22:21:36,17.733
0,22:21:36,19.211
0,22:21:36,18.306
0,22:21:36,17.722
0,22:21:36,16.506
0,22:21:36,18.274
0,22:21:36,18.056
0,22:21:36,20.451
0,22:21:36,19.601
0,22:21:36,18.405
0,22:21:36,17.271
0,22:21:36,18.366
0,22:21:36,17.572
0,22:21:36,17.968
0,22:21:36,17.581
0,22:21:36,18.117
0,22:21:36,17.886
0,22:21:36,17.607
0,22:21:36,17.437
0,22:21:36,17.233
0,22:21:36,14.802
0,22:21:36,15.754
0,22:21:36,14.066
0,22:21:36,15.851
0,22:21:36,15.157
0,22:21:36,16.473
0,22:21:36,15.677
0,22:21:36,16.229
0,22:21:36,15.124
0,22:21:36,15.786
0,22:21:36,17.701
0,22:21:36,16.474
0,22:21:37,16.068
0,22:21:37,15.218
0,22:21:37,16.404
0,22:21:37,15.930
0,22:21:37,15.859
0,22:21:37,14.884
0,22:21:37,15.268
0,22:21:37,15.484
0,22:21:37,15.289
0,22:21:37,15.418
0,22:21:37,14.803
0,22:21:37,15.080
0,22:21:37,14.083
0,22:21:37,16.176
0,22:21:37,16.252
0,22:21:37,15.311
0,22:21:37,14.992
0,22:21:37,15.598
0,22:21:37,15.834
0,22:21:37,14.707
0,22:21:37,14.282
0,22:21:37,13.827
0,22:21:37,14.692
0,22:21:37,14.302
0,22:21:37,14.382
0,22:21:37,13.286
0,22:21:37,14.338
0,22:21:37,14.566
0,22:21:37,13.957
0,22:21:37,13.541
0,22:21:37,13.368
0,22:21:37,14.237
0,22:21:37,13.521
0,22:21:37,13.752
0,22:21:37,13.430
0,22:21:37,12.860
0,22:21:37,12.962
0,22:21:37,14.034
0,22:21:37,14.448
0,22:21:37,15.676
0,22:21:37,13.884
0,22:21:37,13.513
0,22:21:37,12.171
0,22:21:37,13.306
0,22:21:37,12.478
0,22:21:37,12.665
0,22:21:37,13.274
0,22:21:37,12.519
0,22:21:37,11.861
0,22:21:37,12.585
0,22:21:37,14.585
0,22:21:37,13.039
0,22:21:37,12.787
0,22:21:37,12.060
0,22:21:37,13.451
0,22:21:37,12.407
0,22:21:37,13.976
0,22:21:37,12.445
0,22:21:37,11.248
0,22:21:37,12.956
0,22:21:37,10.754
0,22:21:37,12.637
0,22:21:37,12.206
0,22:21:37,12.117
0,22:21:37,11.159
0,22:21:37,11.594
0,22:21:37,11.156
0,22:21:37,11.907
0,22:21:37,11.192
0,22:21:37,11.040
0,22:21:37,11.411
0,22:21:37,11.212
0,22:21:38,12.352
0,22:21:38,10.827
0,22:21:38,12.213
0,22:21:38,11.318
0,22:21:38,12.231
0,22:21:38,10.215
0,22:21:38,10.946
0,22:21:38,11.272
0,22:21:38,12.164
0,22:21:38,10.081
0,22:21:38,10.161
0,22:21:38,10.808
0,22:21:38,9.483
0,22:21:38,11.789
0,22:21:38,11.186
0,22:21:38,11.804
0,22:21:38,11.216
0,22:21:38,10.462
0,22:21:38,10.744
0,22:21:38,11.203
0,22:21:38,10.615
0,22:21:38,10.904
0,22:21:38,10.603
0,22:21:38,9.811
0,22:21:38,11.661
0,22:21:38,11.845
0,22:21:38,10.316
0,22:21:38,10.765
0,22:21:38,10.776
0,22:21:38,9.515
0,22:21:38,11.690
0,22:21:38,9.954
0,22:21:38,9.597
0,22:21:38,9.476
0,22:21:38,8.228
0,22:21:38,10.057
0,22:21:38,9.439
0,22:21:38,9.232
0,22:21:38,8.685
0,22:21:38,9.991
0,22:21:38,9.998
0,22:21:38,9.948
0,22:21:38,9.554
0,22:21:38,7.883
0,22:21:38,9.003
0,22:21:38,8.496
0,22:21:38,8.922
0,22:21:38,8.587
0,22:21:38,7.748
0,22:21:38,7.710
0,22:21:38,8.847
0,22:21:38,8.950
0,22:21:38,10.207
0,22:21:38,9.415
0,22:21:38,8.492
0,22:21:38,8.410
0,22:21:38,8.789
0,22:21:38,9.766
0,22:21:38,9.512
0,22:21:38,9.349
0,22:21:38,8.818
0,22:21:38,9.897
0,22:21:38,9.328
0,22:21:38,9.109
0,22:21:38,9.213
0,22:21:38,9.074
0,22:21:38,9.197
0,22:21:38,9.679
0,22:21:38,8.426
0,22:21:38,9.080
0,22:21:38,8.390
0,22:21:38,8.591
0,22:21:38,9.038
0,22:21:38,9.164
0,22:21:38,9.624
0,22:21:38,8.845
0,22:21:38,9.444
0,22:21:38,9.049
0,22:21:38,8.950
0,22:21:38,9.900
0,22:21:38,9.075
0,22:21:38,9.086
0,22:21:38,8.886
0,22:21:38,7.915
0,22:21:38,8.187
0,22:21:38,7.947
0,22:21:38,7.511
0,22:21:38,8.408
0,22:21:38,8.195
0,22:21:38,8.216
0,22:21:38,8.279
0,22:21:38,7.890
0,22:21:38,7.505
0,22:21:38,8.302
0,22:21:38,7.493
0,22:21:38,8.619
0,22:21:38,7.869
0,22:21:38,7.113
0,22:21:38,7.092
0,22:21:38,8.364
0,22:21:38,8.475
0,22:21:38,8.165
0,22:21:38,6.743
0,22:21:39,7.631
0,22:21:39,7.952
0,22:21:39,7.641
0,22:21:39,9.062
0,22:21:39,7.936
0,22:21:39,7.770
0,22:21:39,8.063
0,22:21:39,8.618
0,22:21:39,8.010
0,22:21:39,7.866
0,22:21:39,8.257
0,22:21:39,7.266
0,22:21:39,8.252
0,22:21:39,7.540
0,22:21:39,7.385
0,22:21:39,8.146
0,22:21:39,7.827
0,22:21:39,8.994
0,22:21:39,7.456
0,22:21:39,8.809
0,22:21:39,6.805
0,22:21:39,8.207
0,22:21:39,8.496
0,22:21:39,9.133
0,22:21:39,7.364
0,22:21:39,7.600
0,22:21:39,7.082
0,22:21:39,7.687
0,22:21:39,7.336
0,22:21:39,7.463
0,22:21:39,7.180
0,22:21:39,7.006
0,22:21:39,6.769
0,22:21:39,8.164
0,22:21:39,7.338
0,22:21:39,7.064
0,22:21:39,6.874
0,22:21:39,7.301
0,22:21:39,6.525
0,22:21:39,8.586
0,22:21:39,6.851
0,22:21:39,6.298
0,22:21:39,6.444
0,22:21:39,7.486
0,22:21:39,7.062
0,22:21:39,6.691
0,22:21:39,7.403
0,22:21:39,7.522
0,22:21:39,6.520
0,22:21:39,7.430
0,22:21:39,6.978
0,22:21:39,7.412
0,22:21:39,6.958
0,22:21:39,7.486
0,22:21:39,8.030
0,22:21:39,6.661
0,22:21:39,6.742
0,22:21:39,6.604
0,22:21:39,6.419
0,22:21:39,6.590
0,22:21:39,6.461
0,22:21:39,6.866
0,22:21:39,6.047
0,22:21:39,6.989
0,22:21:39,6.746
0,22:21:39,6.876
0,22:21:39,7.317
0,22:21:39,7.212
0,22:21:39,6.792
0,22:21:39,7.414
0,22:21:39,6.675
0,22:21:39,6.304
0,22:21:39,6.565
0,22:21:39,7.249
0,22:21:39,7.138
0,22:21:39,6.859
0,22:21:39,7.021
0,22:21:39,7.151
0,22:21:39,7.277
0,22:21:39,6.571
0,22:21:39,8.773
0,22:21:39,7.913
0,22:21:39,7.246
0,22:21:39,6.231
0,22:21:39,6.453
0,22:21:39,6.262
0,22:21:39,7.270
0,22:21:39,6.911
0,22:21:39,7.289
0,22:21:39,7.313
0,22:21:39,6.591
0,22:21:39,6.807
0,22:21:39,6.286
0,22:21:39,6.921
0,22:21:39,7.627
0,22:21:39,6.253
0,22:21:39,6.767
0,22:21:39,6.474
0,22:21:39,5.816
0,22:21:39,6.792
0,22:21:39,5.946
0,22:21:39,6.107
0,22:21:39,5.720
0,22:21:39,5.873
0,22:21:39,6.964
0,22:21:39,6.083
0,22:21:39,6.352
0,22:21:39,6.479
0,22:21:39,8.062
0,22:21:39,6.272
0,22:21:39,6.520
0,22:21:39,6.356
0,22:21:39,6.532
0,22:21:39,6.389
0,22:21:39,6.327
0,22:21:39,6.915
0,22:21:39,6.459
0,22:21:39,6.599
0,22:21:39,7.157
0,22:21:39,6.868
0,22:21:39,6.408
0,22:21:39,6.448
0,22:21:39,6.462
0,22:21:39,6.061
0,22:21:39,6.650
0,22:21:39,6.806
0,22:21:39,5.974
0,22:21:39,5.568
0,22:21:39,5.323
0,22:21:39,6.977
0,22:21:39,6.128
0,22:21:39,6.752
0,22:21:39,6.556
0,22:21:39,6.730
0,22:21:39,6.749
0,22:21:39,6.224
0,22:21:39,6.564
0,22:21:40,6.519
0,22:21:40,6.559
0,22:21:40,6.947
0,22:21:40,7.241
0,22:21:40,6.541
0,22:21:40,7.304
0,22:21:40,6.387
0,22:21:40,5.887
0,22:21:40,5.810
0,22:21:40,6.536
0,22:21:40,5.883
