client,time,latency
6,18:37:38,36.895
0,18:37:38,41.847
5,18:37:38,40.393
1,18:37:38,34.750
2,18:37:38,30.828
7,18:37:38,31.878
9,18:37:38,37.830
8,18:37:38,37.830
4,18:37:38,30.439
3,18:37:38,27.583
0,18:37:38,0.524
5,18:37:38,1.131
1,18:37:38,1.470
6,18:37:38,1.817
4,18:37:38,0.737
7,18:37:38,1.143
9,18:37:38,2.366
3,18:37:38,2.623
2,18:37:38,4.116
8,18:37:38,4.471
5,18:37:39,1.659
6,18:37:39,1.371
0,18:37:39,3.361
9,18:37:39,0.700
4,18:37:39,2.516
2,18:37:39,1.297
1,18:37:39,4.216
7,18:37:39,3.610
8,18:37:39,1.155
3,18:37:39,2.331
5,18:37:39,3.261
6,18:37:39,2.678
1,18:37:39,0.819
0,18:37:39,7.261
9,18:37:39,7.305
8,18:37:39,4.462
4,18:37:39,7.107
7,18:37:39,6.721
3,18:37:39,10.962
2,18:37:39,16.041
5,18:37:40,0.805
6,18:37:40,0.742
0,18:37:40,0.558
9,18:37:40,0.682
8,18:37:40,0.466
1,18:37:40,6.896
7,18:37:40,3.076
4,18:37:40,3.520
3,18:37:40,2.166
2,18:37:40,1.799
6,18:37:40,3.085
5,18:37:40,8.567
9,18:37:40,3.424
8,18:37:40,2.980
1,18:37:40,2.309
4,18:37:40,0.388
0,18:37:40,6.146
7,18:37:40,1.981
3,18:37:40,4.234
2,18:37:40,0.997
6,18:37:41,2.316
9,18:37:41,2.057
0,18:37:41,1.983
8,18:37:41,5.423
1,18:37:41,5.316
7,18:37:41,3.872
5,18:37:41,8.727
4,18:37:41,7.683
2,18:37:41,0.905
3,18:37:41,2.264
6,18:37:41,2.100
9,18:37:41,3.536
8,18:37:41,0.318
0,18:37:41,2.370
7,18:37:41,1.081
1,18:37:41,1.462
5,18:37:41,1.813
2,18:37:41,0.514
4,18:37:41,2.251
3,18:37:41,2.326
6,18:37:42,0.870
9,18:37:42,2.373
0,18:37:42,2.776
1,18:37:42,1.588
8,18:37:42,3.565
7,18:37:42,1.896
2,18:37:42,0.385
5,18:37:42,1.623
4,18:37:42,3.165
3,18:37:42,2.346
6,18:37:42,4.652
9,18:37:42,0.666
0,18:37:42,0.612
8,18:37:42,0.454
1,18:37:42,2.676
2,18:37:42,2.019
5,18:37:42,1.410
7,18:37:42,3.239
4,18:37:42,1.322
3,18:37:42,0.542
6,18:37:43,2.494
8,18:37:43,2.194
1,18:37:43,0.472
2,18:37:43,0.497
9,18:37:43,4.988
7,18:37:43,1.914
5,18:37:43,2.402
4,18:37:43,1.473
3,18:37:43,0.389
6,18:37:43,0.803
1,18:37:43,1.695
9,18:37:43,1.334
2,18:37:43,2.621
5,18:37:43,2.965
8,18:37:43,6.126
3,18:37:43,0.381
4,18:37:43,2.890
7,18:37:43,5.384
6,18:37:44,2.879
2,18:37:44,1.360
9,18:37:44,2.691
1,18:37:44,3.276
5,18:37:44,1.785
8,18:37:44,1.956
3,18:37:44,2.137
4,18:37:44,3.042
7,18:37:44,2.586
6,18:37:44,0.778
9,18:37:44,0.713
1,18:37:44,2.999
8,18:37:44,0.458
5,18:37:44,1.616
3,18:37:44,0.419
2,18:37:44,4.692
7,18:37:44,1.721
4,18:37:44,2.983
6,18:37:45,4.139
9,18:37:45,4.305
2,18:37:45,0.614
1,18:37:45,2.434
3,18:37:45,1.258
8,18:37:45,2.765
5,18:37:45,4.685
4,18:37:45,1.255
7,18:37:45,5.019
6,18:37:45,0.781
9,18:37:45,1.683
1,18:37:45,1.535
3,18:37:45,1.897
8,18:37:45,2.118
2,18:37:45,3.624
5,18:37:45,5.583
4,18:37:45,4.865
7,18:37:45,2.162
6,18:37:46,3.542
9,18:37:46,0.720
2,18:37:46,1.058
1,18:37:46,3.162
3,18:37:46,3.638
8,18:37:46,3.308
7,18:37:46,0.458
4,18:37:46,1.067
5,18:37:46,1.810
