client,time,latency
21,19:14:08,10.221
37,19:14:08,38.296
0,19:14:08,20.423
48,19:14:08,11.956
36,19:14:08,19.641
7,19:14:08,13.611
9,19:14:08,13.358
47,19:14:08,8.557
3,19:14:08,20.988
18,19:14:08,19.273
39,19:14:08,14.350
49,19:14:08,42.863
20,19:14:08,10.376
5,19:14:08,16.017
25,19:14:08,43.760
11,19:14:08,42.026
28,19:14:08,45.486
24,19:14:08,49.570
38,19:14:08,49.391
45,19:14:08,49.292
41,19:14:08,50.160
16,19:14:08,55.368
23,19:14:08,55.549
22,19:14:08,56.081
26,19:14:08,55.439
46,19:14:08,55.803
19,19:14:08,56.894
14,19:14:08,56.796
30,19:14:08,57.542
44,19:14:08,56.510
33,19:14:08,56.636
12,19:14:08,59.305
13,19:14:08,60.980
40,19:14:08,60.186
2,19:14:08,62.026
10,19:14:08,62.430
6,19:14:08,63.038
29,19:14:08,60.392
15,19:14:08,63.013
42,19:14:08,60.932
27,19:14:08,61.575
17,19:14:08,63.874
34,19:14:08,63.039
43,19:14:08,64.291
1,19:14:08,67.672
35,19:14:08,66.758
31,19:14:08,70.394
8,19:14:08,71.892
37,19:14:08,0.650
21,19:14:08,0.884
7,19:14:08,0.644
9,19:14:08,0.549
47,19:14:08,0.493
18,19:14:08,0.429
48,19:14:08,2.774
0,19:14:08,2.995
49,19:14:08,0.408
36,19:14:08,3.693
20,19:14:08,0.423
3,19:14:08,3.751
39,19:14:08,3.599
25,19:14:08,2.018
5,19:14:08,3.003
11,19:14:08,3.323
28,19:14:08,4.309
45,19:14:08,0.659
41,19:14:08,0.529
24,19:14:08,2.286
38,19:14:08,2.478
26,19:14:08,0.403
16,19:14:08,4.196
44,19:14:08,1.260
30,19:14:08,1.470
33,19:14:08,1.176
46,19:14:08,3.868
23,19:14:08,4.171
19,19:14:08,4.001
13,19:14:08,0.374
10,19:14:08,0.366
2,19:14:08,0.552
22,19:14:08,5.725
40,19:14:08,0.762
15,19:14:08,0.397
14,19:14:08,5.230
29,19:14:08,0.303
27,19:14:08,1.437
1,19:14:08,0.798
34,19:14:08,2.750
17,19:14:08,3.325
35,19:14:08,2.221
43,19:14:08,4.609
42,19:14:08,6.844
12,19:14:08,11.273
31,19:14:08,0.409
6,19:14:08,9.706
8,19:14:08,1.209
37,19:14:08,2.403
47,19:14:08,0.410
21,19:14:08,2.362
7,19:14:08,3.504
20,19:14:08,0.561
3,19:14:08,0.438
36,19:14:08,2.027
49,19:14:08,2.551
9,19:14:08,5.104
0,19:14:08,3.089
48,19:14:08,3.669
5,19:14:08,0.312
18,19:14:08,4.651
39,19:14:08,0.422
11,19:14:08,0.321
25,19:14:08,2.595
28,19:14:08,0.391
41,19:14:08,0.455
45,19:14:08,2.529
38,19:14:08,3.960
24,19:14:08,4.657
26,19:14:08,1.363
33,19:14:08,0.498
30,19:14:08,1.882
16,19:14:08,3.255
10,19:14:08,0.411
2,19:14:08,0.712
19,19:14:08,1.744
22,19:14:08,0.506
46,19:14:08,3.558
13,19:14:08,3.052
15,19:14:08,0.863
27,19:14:08,0.430
40,19:14:08,2.247
29,19:14:08,2.423
17,19:14:08,1.196
23,19:14:08,2.455
35,19:14:08,2.615
12,19:14:08,2.193
14,19:14:08,8.966
6,19:14:08,1.686
8,19:14:08,4.633
31,19:14:08,6.468
43,19:14:08,3.627
42,19:14:08,5.411
34,19:14:08,13.830
1,19:14:08,14.313
21,19:14:08,1.986
47,19:14:08,2.865
20,19:14:08,0.526
36,19:14:08,0.504
9,19:14:08,0.513
7,19:14:08,2.815
48,19:14:08,0.514
39,19:14:08,0.434
49,19:14:08,2.396
11,19:14:08,0.979
28,19:14:08,0.363
5,19:14:08,2.904
3,19:14:08,5.233
41,19:14:08,0.442
37,19:14:08,9.868
18,19:14:08,4.105
0,19:14:08,5.736
25,19:14:08,4.364
45,19:14:08,2.170
24,19:14:08,0.381
38,19:14:08,1.991
26,19:14:08,2.594
33,19:14:08,1.226
10,19:14:08,0.391
2,19:14:08,0.705
30,19:14:08,2.142
16,19:14:08,1.891
15,19:14:08,0.408
40,19:14:08,0.410
19,19:14:08,2.889
13,19:14:08,1.486
46,19:14:08,3.004
27,19:14:08,3.084
29,19:14:08,2.709
22,19:14:08,7.758
23,19:14:08,2.142
17,19:14:08,5.148
35,19:14:08,2.075
12,19:14:08,3.447
6,19:14:08,2.941
31,19:14:08,0.317
14,19:14:08,4.846
42,19:14:08,0.356
43,19:14:08,1.997
34,19:14:08,0.314
1,19:14:08,0.311
20,19:14:08,0.637
21,19:14:08,2.045
36,19:14:08,0.997
9,19:14:08,0.832
47,19:14:08,3.015
7,19:14:08,1.054
49,19:14:08,0.519
48,19:14:08,1.616
39,19:14:08,1.080
11,19:14:08,0.950
5,19:14:08,0.679
28,19:14:08,1.439
3,19:14:08,1.574
18,19:14:08,0.712
41,19:14:08,1.732
0,19:14:08,0.396
37,19:14:08,2.641
45,19:14:08,0.396
24,19:14:08,2.258
38,19:14:08,1.908
25,19:14:08,5.788
26,19:14:08,0.990
33,19:14:08,2.498
2,19:14:08,1.950
10,19:14:08,3.137
30,19:14:08,2.242
16,19:14:08,1.955
46,19:14:08,0.385
15,19:14:08,2.711
19,19:14:08,2.363
27,19:14:08,1.408
29,19:14:08,0.992
40,19:14:08,4.777
22,19:14:08,0.425
23,19:14:08,0.636
13,19:14:08,8.110
35,19:14:08,2.419
6,19:14:08,0.432
12,19:14:08,1.186
17,19:14:08,4.342
14,19:14:08,0.395
31,19:14:08,1.881
43,19:14:08,1.126
34,19:14:08,0.323
1,19:14:08,1.145
42,19:14:08,6.657
21,19:14:08,0.739
20,19:14:08,1.568
9,19:14:08,0.340
47,19:14:08,0.371
48,19:14:08,1.111
7,19:14:08,2.251
36,19:14:08,3.955
11,19:14:08,1.844
39,19:14:08,3.328
28,19:14:08,1.856
5,19:14:08,2.440
49,19:14:08,4.216
0,19:14:08,0.455
41,19:14:08,2.029
45,19:14:08,0.959
3,19:14:08,3.993
18,19:14:08,4.632
25,19:14:08,0.460
38,19:14:08,1.344
37,19:14:08,6.371
24,19:14:08,2.672
26,19:14:08,0.359
33,19:14:08,1.162
16,19:14:08,0.409
2,19:14:08,1.918
46,19:14:08,0.779
30,19:14:08,2.815
19,19:14:08,0.991
15,19:14:08,2.884
29,19:14:08,1.376
40,19:14:08,2.552
22,19:14:08,2.723
35,19:14:08,0.787
27,19:14:08,8.291
6,19:14:08,1.624
13,19:14:08,3.673
34,19:14:08,1.922
31,19:14:08,4.094
1,19:14:08,1.013
17,19:14:08,5.352
12,19:14:08,6.356
23,19:14:08,7.132
43,19:14:08,3.390
42,19:14:08,0.408
14,19:14:08,7.988
21,19:14:08,2.976
48,19:14:08,0.468
47,19:14:08,2.798
36,19:14:08,0.520
7,19:14:08,1.151
20,19:14:08,4.451
28,19:14:08,0.511
11,19:14:08,2.082
39,19:14:08,2.136
5,19:14:08,0.465
41,19:14:08,0.342
49,19:14:08,0.425
45,19:14:08,1.262
18,19:14:08,0.592
0,19:14:08,3.968
3,19:14:08,1.616
38,19:14:08,0.487
25,19:14:08,1.489
37,19:14:08,0.489
24,19:14:08,1.142
2,19:14:08,0.473
33,19:14:08,2.728
16,19:14:08,1.351
46,19:14:08,1.660
19,19:14:08,1.762
15,19:14:08,0.322
26,19:14:08,8.598
30,19:14:08,0.298
22,19:14:08,0.274
40,19:14:08,2.048
29,19:14:08,4.960
35,19:14:08,1.251
27,19:14:08,2.020
13,19:14:08,2.105
6,19:14:08,3.451
34,19:14:08,0.836
31,19:14:08,0.628
17,19:14:08,0.631
12,19:14:08,0.359
1,19:14:08,2.084
23,19:14:08,2.025
14,19:14:08,0.390
43,19:14:08,2.586
42,19:14:08,1.327
48,19:14:08,0.530
7,19:14:08,0.627
47,19:14:08,2.013
20,19:14:08,1.592
21,19:14:08,3.345
36,19:14:08,2.865
18,19:14:08,2.199
49,19:14:08,3.250
45,19:14:08,2.982
0,19:14:08,8.647
3,19:14:08,8.777
5,19:14:08,0.403
33,19:14:08,0.903
25,19:14:08,4.752
16,19:14:08,1.695
39,19:14:08,11.876
41,19:14:08,9.915
37,19:14:08,4.286
