client,time,latency
3,18:50:26,25.394
0,18:50:26,22.000
4,18:50:26,19.207
6,18:50:26,22.012
1,18:50:26,38.241
2,18:50:26,34.983
7,18:50:26,32.592
8,18:50:26,20.458
9,18:50:26,34.919
5,18:50:26,32.709
6,18:50:26,1.628
4,18:50:26,2.751
1,18:50:26,2.271
7,18:50:26,2.535
5,18:50:26,2.931
9,18:50:26,3.747
8,18:50:26,4.404
2,18:50:26,5.618
0,18:50:26,8.671
3,18:50:26,9.911
4,18:50:26,0.651
7,18:50:26,0.432
5,18:50:26,0.424
1,18:50:26,2.844
6,18:50:26,4.282
9,18:50:26,0.463
8,18:50:26,0.492
2,18:50:26,2.811
3,18:50:26,3.636
0,18:50:26,7.431
1,18:50:26,0.729
5,18:50:26,2.210
7,18:50:26,9.486
4,18:50:26,10.099
3,18:50:26,3.097
6,18:50:26,10.362
8,18:50:26,9.695
9,18:50:26,9.788
2,18:50:26,8.384
0,18:50:26,3.325
5,18:50:26,1.780
1,18:50:26,5.035
4,18:50:26,0.663
7,18:50:26,1.927
6,18:50:26,0.378
8,18:50:26,0.425
2,18:50:26,0.381
3,18:50:26,2.003
9,18:50:26,1.216
0,18:50:26,0.416
5,18:50:26,0.833
1,18:50:26,1.726
4,18:50:26,1.677
8,18:50:26,0.398
6,18:50:26,3.656
3,18:50:26,2.543
9,18:50:26,2.161
2,18:50:26,3.265
0,18:50:26,2.495
7,18:50:26,10.163
5,18:50:27,3.651
1,18:50:27,1.343
4,18:50:27,0.544
8,18:50:27,2.915
6,18:50:27,1.945
3,18:50:27,2.151
2,18:50:27,2.298
0,18:50:27,2.691
9,18:50:27,3.807
7,18:50:27,1.090
1,18:50:27,0.714
5,18:50:27,4.277
4,18:50:27,2.510
8,18:50:27,0.498
3,18:50:27,1.015
2,18:50:27,1.366
6,18:50:27,2.907
9,18:50:27,0.454
0,18:50:27,2.110
7,18:50:27,1.312
1,18:50:27,2.023
5,18:50:27,2.654
4,18:50:27,1.699
8,18:50:27,2.300
9,18:50:27,1.324
2,18:50:27,2.163
3,18:50:27,3.750
0,18:50:27,3.204
7,18:50:27,2.699
6,18:50:27,5.536
1,18:50:27,2.308
5,18:50:27,1.874
4,18:50:27,3.127
8,18:50:27,2.943
9,18:50:27,1.180
2,18:50:27,2.347
3,18:50:27,2.320
6,18:50:27,0.399
7,18:50:27,1.707
0,18:50:27,2.598
1,18:50:27,5.228
8,18:50:27,0.382
9,18:50:27,0.633
5,18:50:27,7.784
3,18:50:27,0.418
2,18:50:27,2.141
6,18:50:27,1.355
0,18:50:27,0.377
7,18:50:27,1.183
4,18:50:27,2.418
8,18:50:27,1.488
1,18:50:27,3.399
9,18:50:27,0.330
5,18:50:27,0.306
3,18:50:27,1.154
7,18:50:27,0.439
6,18:50:27,1.284
2,18:50:27,2.912
0,18:50:27,2.231
4,18:50:27,2.581
1,18:50:27,1.683
8,18:50:27,2.747
5,18:50:27,0.474
3,18:50:27,0.394
9,18:50:27,3.643
7,18:50:27,0.432
6,18:50:27,1.073
0,18:50:27,1.964
2,18:50:27,2.920
4,18:50:27,4.256
1,18:50:27,0.705
3,18:50:27,0.514
8,18:50:27,2.539
